Tentative Time Table for Semester I (2026-28),,,,,,,,,,,,,,,,,,,,
5,2:10,3:00,,SM-15,MC-I-15,,SM-15,FRA-25,,OM-14,Janmashtami,,,,,,,,,
6,3:10,4:00,,SM-16,DT-16,FRA-24,SM-16,FRA-26,,OM-15,,,,,,,,,,
7,4:10,5:00,,FRA-23,,,,,,,,,,,,,,,,
8,5:10,6:00,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Session,Week11,,7-Sep,,8-Sep,,9-Sep,,10-Sep,,11-Sep,,12-Sep,,13-Sep,,,,,
,From,To,Mon,,Tue,,Wed,,Thu,,Fri,,Sat,,Sun,,,,,
1,9:10,10:00,HAW-1,DT-17,OB-16,,,MM-19,OB-17,,,,,,,,,,,
2,10:10,11:00,ME-26,HAW-1,FRA-28,OB-16,ME-27,FRA-29,,OB-17,ME-28,,,,,,,,,
3,11:10,12:00,FRA-27,ME-26,MC-I-17,FRA-28,MM-19,ME-27,OM-16,,ILR-16,ME-28,,,,,,,,
4,12:10,1:00,DT-17,FRA-27,DT-18,MC-I-17,FRA-29,,OM-17,MC-I-18,,ILR-16,,,,,,,,
Lunch Break,,,,,,,,,,,,,,,,,,,,
5,2:10,3:00,,SM-17,MM-18,DT-18,SM-17,,MC-I-18,OM-16,ILR-17,,,,,,,,,
6,3:10,4:00,,SM-18,,MM-18,SM-18,,,OM-17,,ILR-17,,,,,,,,
7,4:10,5:00,,,,,,,,,,,,,,,,,,
8,5:10,6:00,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Session,Week12,,14-Sep,,15-Sep,,16-Sep,,17-Sep,,18-Sep,,19-Sep,,20-Sep,,,,,
,From,To,Mon,,Tue,,Wed,,Thu,,Fri,,Sat,,Sun,,,,,
1,9:10,10:00,Mid Term Exam,,Samvatsari,,Mid Term Exam,,Mid Term Exam,,Mid Term Exam,,Mid Term Exam,,,,,,,
2,10:10,11:00,,,,,,,,,,,,,,,,,,
3,11:10,12:00,,,,,,,,,,,,,,,,,,
4,12:10,1:00,,,,,,,,,,,,,,,,,,
Lunch Break,,,,,,,,,,,,,,,,,,,,
5,2:10,3:00,Mid Term Exam,,Samvatsari,,Mid Term Exam,,Mid Term Exam,,Mid Term Exam,,Mid Term Exam,,,,,,,
6,3:10,4:00,,,,,,,,,,,,,,,,,,
7,4:10,5:00,,,,,,,,,,,,,,,,,,
8,5:10,6:00,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Session,Week13,,21-Sep,,22-Sep,,23-Sep,,24-Sep,,25-Sep,,26-Sep,,27-Sep,,,,,
,From,To,Mon,,Tue,,Wed,,Thu,,Fri,,Sat,,Sun,,,,,
1,9:10,10:00,HAW-1,DT-19,OB-19,DT-20,,,OB-20,OM-19,OM-21,SM-19,,,,,,,,
2,10:10,11:00,ME-29,HAW-1,DT-20,OB-19,ME-30,MM-21,FRA-32,OB-20,ME-31,SM-20,,,,,,,,
3,11:10,12:00,FRA-30,ME-29,MM-20,MC-I-19,FRA-31,ME-30,MC-I-20,FRA-32,ILR-19,ME-31,,,,,,,,
,12:10,1:00,DT-19,FRA-30,MC-I-19,MM-20,MM-21,FRA-31,OM-19,MC-I-20,,ILR-19,,,,,,,,
Lunch Break,,,,,,,,,,,,,,,,,,,,
5,2:10,3:00,,,ILR-18,,SM-19,,,,ILR-20,OM-21,,,,,,,,
6,3:10,4:00,,,,ILR-18,SM-20,,,,,ILR-20,,,,,,,,
7,4:10,5:00,,,,,,,,,,,,,,,,,,
8,5:10,6:00,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Session,Week14,,28-Sep,,29-Sep,,30-Sep,,1-Oct,,2-Oct,,3-Oct,,4-Oct,,,,,
,From,To,Mon,,Tue,,Wed,,Thu,,Fri,,Sat,,Sun,,,,,
1,9:10,10:00,HAW-1,FRA-33,DT-22,OB-21,FRA-34,MM-24,OB-22,,Mahatma Gandhi Jayanti,,,,,,,,,
2,10:10,11:00,ME-32,HAW-1,OB-21,MM-23,ME-33,FRA-34,FRA-35,OB-22,,,,,,,,,,
3,11:10,12:00,SM-19,ME-32,MC-I-21,SM-19,MM-24,ME-33,MC-I-22,FRA-35,,,,,,,,,,
4,12:10,1:00,SM-20,DT-21,MM-22,SM-20,,,OM-22,MC-I-22,,,,,,,,,,
Lunch Break,,,,,,,,,,,,,,,,,,,,
5,2:10,3:00,FRA-33,,,MC-I-21,,,,OM-22,Mahatma Gandhi Jayanti,,,,,,,,,
6,3:10,4:00,DT-21,,,DT-22,,,,,,,,,,,,,,
7,4:10,5:00,ILR-21,,,,,,,,,,,,,,,,,
8,5:10,6:00,,ILR-21,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Session,Week15,,5-Oct,,6-Oct,,7-Oct,,8-Oct,,9-Oct,,10-Oct,,11-Oct,,,,,
,From,To,Mon,,Tue,,Wed,,Thu,,Fri,,Sat,,Sun,,,,,
1,9:10,10:00,HAW-1,DT-23,OB-23,MM-25,MM-27,,,,,SM-21,,,,,,,,
2,10:10,11:00,ME-34,HAW-1,MM-26,DT-24,ME-35,MM-27,OB-24,,ILR-23,SM-22,,,,,,,,
3,11:10,12:00,DT-23,ME-34,MC-I-23,OB-23,FRA-37,ME-35,MC-I-24,OB-24,,ILR-23,,,,,,,,
4,12:10,1:00,OM-23,FRA-36,DT-24,MC-I-23,FRA-38,,OM-24,MC-I-24,,,,,,,,,,
Lunch Break,,,,,,,,,,,,,,,,,,,,
5,2:10,3:00,FRA-36,OM-23,,,SM-23,FRA-37,,OM-24,ILR-24,,,,,,,,,
6,3:10,4:00,ILR-22,,,,SM-24,FRA-38,,,,ILR-24,,,,,,,,
7,4:10,5:00,,ILR-22,,,,,,,,,,,,,,,,
8,5:10,6:00,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Session,Week16,,12-Oct,,13-Oct,,14-Oct,,15-Oct,,16-Oct,,17-Oct,,18-Oct,,,,,
,From,To,Mon,,Tue,,Wed,,Thu,,Fri,,Sat,,Sun,,,,,
1,9:10,10:00,HAW-1,OM-25,DT-26,OB-25,,,,,,SM-21,,,,,,,,
2,10:10,11:00,HAW-1,DT-25,MM-29,MC-I-25,ME-36,MM-30,,,ME-35,SM-22,,,,,,,,
3,11:10,12:00,OM-25,HAW-1,MC-I-25,FRA-39,FRA-41,ME-36,MC-I-26,OM-26,ILR-25,ME-35,,,,,,,,
4,12:10,1:00,DT-25,HAW-1,OB-25,FRA-40,MM-30,FRA-41,OM-26,MC-I-26,OM-27,ILR-25,,,,,,,,
Lunch Break,,,,,,,,,,,,,,,,,,,,
5,2:10,3:00,,,FRA-39,MM-28,SM-25,,,,ILR-26,OM-27,,,,,,,,
6,3:10,4:00,,,FRA-40,DT-26,SM-26,,,,,ILR-26,,,,,,,,
7,4:10,5:00,,,,,,,,,,,,,,,,,,
8,5:10,6:00,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Session,Week17,,19-Oct,,20-Oct,,21-Oct,,22-Oct,,23-Oct,,24-Oct,,25-Oct,,,,,
,From,To,Mon,,Tue,,Wed,,Thu,,Fri,,Sat,,Sun,,,,,
